City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed (mph)
Huarmey,PE,-10.07,-78.15,68.59,65,46,11.68
Salekhard,RU,66.53,66.6,44.91,74,63,10.83
Evanston,US,42.04,-87.69,86.0,62,90,9.17
Naze,JP,28.37,129.48,80.6,94,75,10.29
Carballo,ES,43.21,-8.69,73.99,70,37,5.99
Sabzawār,IR,36.21,57.68,79.99,19,3,8.9
Burns Lake,CA,54.23,-125.75,48.65,86,100,4.72
Rome,US,43.21,-75.46,77.0,61,75,8.05
Chernyakhovsk,RU,54.63,21.82,61.18,82,96,7.58
Sept-Îles,CA,50.2,-66.38,69.01,77,40,8.05
Misratah,LY,32.38,15.09,77.31,67,0,7.31
Terrace,CA,54.52,-128.6,59.0,62,20,8.05
Seinäjoki,FI,62.79,22.83,62.01,67,100,3.36
Dudinka,RU,69.41,86.18,57.2,71,59,15.66
Launceston,AU,-41.45,147.17,48.0,93,75,4.7
Huai Thalaeng,TH,15.0,102.65,76.95,87,82,8.25
Ust-Kuyga,RU,70.02,135.6,56.89,48,64,3.96
Grants,US,35.15,-107.85,75.2,14,1,14.99
Vila Franca do Campo,PT,37.72,-25.43,68.0,94,75,14.99
Sandpoint,US,48.28,-116.55,59.0,72,90,9.17
Loknya,RU,56.83,30.15,61.07,82,67,4.97
Canutama,BR,-6.53,-64.38,95.74,38,87,2.1
Kerema,PG,-7.96,145.78,76.73,88,100,7.7
Leer,SS,8.3,30.14,79.05,67,76,3.65
Domoni,KM,-12.26,44.53,76.12,82,47,11.81
Lugovoy,KZ,42.95,72.76,69.6,39,94,9.98
Buckingham,GB,52.0,-0.99,64.0,79,100,10.89
Pabradė,LT,55.0,25.78,68.0,52,75,11.41
Bodden Town,KY,19.28,-81.25,89.6,70,40,11.41
Nemuro,JP,43.32,145.57,56.26,99,100,11.9
Mogadishu,SO,2.04,45.34,79.34,80,24,20.42
Moose Factory,CA,51.26,-80.61,91.4,31,1,8.05
Alekseyevsk,RU,57.84,108.35,65.48,64,21,2.19
Hyères,FR,43.12,6.12,84.99,53,0,18.34
Moranbah,AU,-22.0,148.05,56.46,95,2,11.12
Borovoy,RU,55.43,86.08,66.2,55,99,6.71
Loikaw,MM,19.67,97.21,70.9,92,100,2.57
Sabang,ID,5.89,95.32,83.48,72,78,4.76
Wana,PK,32.3,69.57,82.99,42,18,2.19
Anderson,US,34.53,-82.65,90.0,55,1,8.05
North Bend,US,43.41,-124.22,62.01,100,90,6.93
Primorsko-Akhtarsk,RU,46.05,38.17,74.03,76,0,5.39
Krasnyy Chikoy,RU,50.36,108.75,54.88,87,51,1.79
Esim,GH,4.87,-2.24,76.89,80,84,9.6
Makueni Boma,KE,-1.8,37.62,66.09,66,32,6.38
Makakilo City,US,21.35,-158.09,78.8,73,20,3.36
Adré,TD,13.47,22.2,73.44,83,68,11.45
Lake City,US,30.19,-82.64,91.4,55,40,14.99
Havøysund,NO,71.0,24.66,42.8,81,75,18.34
